Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,release height,RelX,RelZ,Chase%,Barrel%,Fly%,Ground%,BaU,Tilt,SpinDir,wOBA,Throws,4FB stuff+,85/15 perf scale velo scale stuff+,shape+ 4FB,general performance+,P,Vel,pvelo,HorzBrk,ABS horzBreak,IndVertBrk,Spin,HorzApprAngle,xVAA T1/3,VertApprAngle,Extension,InZone%,IZ Whiff,OZ Whiff,SwStrk%,perf multiplier velo scale stuff+,50/50 perf scale velo scale stuff+,pvelo scale stuff+ 4FB,fixed scale stuff+ 4FB (pre break),vel brk stuff+ 4FB,eno sarris stuff+ 4FB,outlier
1,1082859264,B. Mcmonagle,Brian Mcmonagle,Mcmonagle,Brian,P,Boston College,BC,227,Boston College,BBC,R,R,59.88,-17.8,59.9,23.5%,21.1%,21.1%,47.4%,25,1:09,-145.6,.543,R,99.34,496.19,516.90,14.30%,84,86.2,86.08,10.9,10.90,17.2,2193.3,-1.29,-4.05,-4.79,6.36,39.3%,-,-,6.0%,73.89,88.56,516.41,286.90,1354.92,4868.17,385.61
1,1160391680,S. HIghfill,Sam HIghfill,HIghfill,Sam,P,North Carolina State University,NCST,730216448,North Carolina State,BBC,R,R,68.83,-28.0,68.8,24.3%,26.7%,43.8%,26.2%,25,12:53,-153.4,.327,R,100.54,502.18,504.81,18.53%,786,90.3,89.62,8.6,8.62,18.3,2283.9,-1.93,-4.41,-4.77,6.03,43.4%,-,-,10.1%,93.56,98.21,501.10,278.03,1392.00,5296.13,401.31
1,1083443712,E. Webster,Evan Webster,Webster,Evan,P,University of Louisville,LOU,5467,Louisville,BBC,R,L,70.52,31.3,70.5,14.5%,25.0%,31.8%,36.4%,23,10:54,147.1,.494,L,95.41,476.57,492.97,14.50%,145,89.2,90.08,-10.9,10.91,18.1,2042.7,2.01,-4.70,-5.42,6.92,47.6%,-,-,3.4%,71.50,86.69,497.73,250.08,1382.29,5541.82,361.38
1,1326874880,A. Duplantier II,Andre Duplantier II,Duplantier II,Andre,P,University of Texas,TEX,245,Texas,BBC,R,R,70.22,-21.2,70.2,26.8%,16.7%,42.6%,27.7%,27,12:33,-163.4,.271,R,84.45,421.85,404.44,19.92%,230,89.5,88.09,4.1,4.08,14.7,2437.6,-2.03,-4.91,-5.75,5.62,57.5%,-,-,7.4%,80.58,91.70,396.87,221.30,1288.25,4621.73,425.60
1,1238060288,T. Rybarczyk,Ty Rybarczyk,Rybarczyk,Ty,P,"Indiana University, Bloomington",IND,4866,Indiana,BBC,S,R,64.23,-17.8,64.2,35.3%,31.3%,55.0%,40.0%,25,1:02,-149.0,.601,R,109.40,546.45,544.31,21.28%,99,89.9,89.29,10.3,10.28,18.1,2273.2,-0.56,-4.03,-4.34,6.04,48.5%,-,-,12.1%,115.82,109.22,540.68,312.20,1403.75,4953.41,399.40
1,1323003392,S. Fauci,Sonny Fauci,Fauci,Sonny,P,Rutgers University,RUTG,730229248,Rutgers,BBC,R,R,68.42,-20.3,68.4,16.4%,5.1%,28.0%,44.0%,24,12:55,-152.6,.366,R,98.57,492.38,496.28,17.88%,302,91.3,91.62,8.1,8.12,16.9,2172.0,-0.78,-4.34,-5.13,6.60,47.4%,-,-,7.9%,88.73,95.68,498.07,279.91,1361.61,4909.54,382.37
1,1290327040,D. Padysak,Daniel Padysak,Padysak,Daniel,P,University of Georgia,UGA,226,Georgia,BBC,R,R,77.12,-4.1,77.1,22.1%,23.7%,46.2%,23.1%,24,12:47,-156.5,.439,R,103.46,516.77,507.95,21.63%,231,92.9,90.75,8.5,8.50,20.7,2246.0,0.34,-4.74,-4.97,5.18,47.2%,-,-,13.0%,109.87,106.47,496.15,264.02,1449.68,4491.82,395.57
1,1299708416,K. Scott,Kyle Scott,Scott,Kyle,P,Oregon State University,ORST,3111,Oregon State,BBC,R,R,74.21,-23.3,74.2,10.5%,25.0%,25.0%,25.0%,25,1:06,-147.0,.264,R,92.74,463.22,450.66,20.42%,37,92.6,92.65,8.9,8.90,14.5,2311.1,-1.25,-5.18,-6.03,6.43,48.6%,-,-,10.8%,92.03,97.61,450.83,234.34,1355.83,5098.95,405.74
1,1306316800,S. Bauer,Spencer Bauer,Bauer,Spencer,P,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,72.05,-17.5,72.0,21.6%,21.4%,20.0%,60.0%,25,1:10,-145.1,.318,R,106.66,532.75,529.47,21.01%,83,92.3,91.37,11.8,11.75,17.9,2288.0,-0.63,-4.70,-5.14,5.88,55.4%,-,-,9.6%,111.24,107.04,524.39,282.24,1438.03,5129.53,402.63
1,1222784256,B. Robison,Bryce Robison,Robison,Bryce,P,Brigham Young University,BYU,730257152,BYU,BBC,R,R,74.32,-5.8,74.3,12.7%,27.3%,18.9%,43.2%,24,12:49,-155.7,.473,R,79.68,398.02,393.48,16.16%,307,87.7,86.93,7.0,6.97,16.3,2106.7,-0.23,-5.34,-6.24,5.95,51.1%,-,-,4.6%,63.59,80.95,389.05,178.63,1303.08,4199.34,370.70
1,1213745920,C. Clawson,Cutter Clawson,Clawson,Cutter,P,Brigham Young University,BYU,730257152,BYU,BBC,L,L,74.62,23.4,74.6,22.4%,17.3%,22.2%,55.6%,20,11:02,150.8,.444,L,89.62,447.63,441.44,18.42%,329,93.3,91.60,-8.1,8.09,15.6,1821.6,1.36,-5.01,-5.51,5.42,44.4%,-,-,9.7%,81.30,91.55,432.00,222.62,1327.41,4848.37,324.25
1,1303562752,J. Washburn,Jack Washburn,Washburn,Jack,P,Texas Tech University,TTU,2350,Texas Tech,BBC,R,R,73.61,-29.9,73.6,17.6%,25.0%,43.4%,32.1%,27,12:30,-164.8,.293,R,84.97,424.45,416.87,17.84%,261,90.3,90.37,4.3,4.28,16.5,2440.3,-2.44,-4.98,-5.39,6.48,49.4%,-,-,7.3%,74.37,87.61,417.46,221.44,1327.95,5146.01,426.52
1,1194608896,G. Stevens,Grant Stevens,Stevens,Grant,P,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,L,L,69.89,27.3,69.9,23.8%,21.4%,28.6%,32.1%,27,11:34,166.9,.396,L,83.49,417.03,400.31,19.59%,150,87.5,86.26,-3.8,3.75,17.2,2357.2,2.18,-4.91,-5.55,5.70,58.0%,-,-,6.7%,78.41,90.42,393.51,205.93,1301.50,4885.46,412.22
1,1089595392,G. Gainey,Garrett Gainey,Gainey,Garrett,P,University of South Carolina,SCAR,730348544,South Carolina,BBC,L,L,70.73,21.7,70.7,35.0%,31.1%,30.4%,44.9%,23,11:01,150.3,.363,L,111.18,555.33,540.64,24.40%,387,93.5,92.01,-10.1,10.11,18.8,2191.5,1.05,-4.36,-4.70,5.54,58.5%,-,-,12.9%,131.93,116.86,532.28,300.47,1436.89,5154.51,386.61
1,1248128512,J. Denner,Jacob Denner,Denner,Jacob,P,University of Michigan,MICH,2290,Michigan,BBC,L,L,66.71,23.4,66.7,32.2%,11.3%,32.1%,42.9%,27,11:12,155.9,.280,L,95.13,475.16,447.61,24.21%,369,89.3,88.91,-6.3,6.28,14.8,2387.7,1.52,-4.59,-4.82,6.19,58.4%,-,-,13.0%,108.35,107.01,445.50,253.32,1309.35,4841.62,417.41
1,1102694656,D. Buhr,Drew Buhr,Buhr,Drew,P,"Indiana University, Bloomington",IND,4866,Indiana,BBC,L,R,67.20,-13.8,67.2,20.9%,25.0%,32.9%,26.3%,24,12:40,-160.0,.306,R,104.47,521.83,513.43,21.73%,449,91.9,91.42,6.7,6.67,19.2,2232.0,-0.76,-4.12,-4.65,6.17,51.0%,-,-,12.0%,111.56,107.27,511.05,295.27,1394.19,4636.76,392.53
1,1302392832,R. Fischer,Ryan Fischer,Fischer,Ryan,P,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,63.99,-35.2,64.0,33.3%,20.0%,50.0%,50.0%,25,1:08,-145.9,.633,R,106.22,530.59,511.32,24.48%,31,87.9,88.09,10.8,10.75,17.2,2191.5,-2.30,-4.31,-4.67,6.52,60.0%,-,-,12.9%,125.15,114.10,512.29,279.73,1367.33,5596.84,385.71
1,1115509248,K. Perry,Kyle Perry,Perry,Kyle,P,University of Nebraska,NEB,4865,Nebraska,BBC,L,L,64.53,34.1,64.5,5.9%,42.9%,38.5%,61.5%,25,10:47,143.4,.614,L,101.36,506.30,508.20,18.85%,85,87.4,86.55,-11.9,11.89,17.2,2210.7,2.54,-4.52,-4.65,5.94,59.5%,-,-,5.9%,95.80,99.37,503.69,267.72,1377.90,5602.39,389.06
1,1117156608,T. Good,Ty Good,Good,Ty,P,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,79.88,-17.2,79.9,24.9%,23.3%,42.6%,29.8%,24,12:44,-157.9,.337,R,87.16,435.35,429.43,17.89%,361,90.5,89.13,7.4,7.41,19.3,2145.2,-0.97,-5.37,-6.06,5.64,39.7%,-,-,10.2%,76.82,88.99,422.08,194.03,1384.76,4870.06,378.24
1,1327606528,J. Dyke,Jack Dyke,Dyke,Jack,P,Northwestern University,NW,730247680,Northwestern,BBC,R,R,69.60,-12.1,69.6,27.4%,30.3%,40.6%,30.4%,23,12:55,-152.7,.337,R,84.34,421.28,407.85,19.02%,268,87.5,88.10,7.3,7.35,15.1,1999.6,-0.66,-4.98,-5.41,6.76,53.6%,-,-,7.5%,77.57,89.72,411.08,200.62,1274.96,4383.33,352.60
1,1292756736,C. Rustad,Carter Rustad,Rustad,Carter,P,University of Missouri,MIZZ,4806,Missouri,BBC,R,R,75.14,-34.0,75.1,29.5%,27.6%,39.3%,23.2%,25,12:49,-155.4,.330,R,104.19,520.40,498.64,24.64%,536,90.9,91.01,8.9,8.86,20.4,2280.2,-2.09,-4.77,-5.28,6.48,64.0%,-,-,11.2%,122.88,113.26,499.23,254.89,1434.62,5727.27,401.29
1,1256024320,J. Rons,Jake Rons,Rons,Jake,P,University of Illinois,ILL,730163456,Illinois,BBC,R,R,70.00,-18.3,70.0,9.9%,7.4%,33.3%,50.0%,26,12:51,-154.6,.387,R,89.01,444.62,452.16,15.25%,153,90.3,89.60,7.5,7.47,16.6,2307.5,-0.96,-4.89,-5.48,6.02,53.3%,-,-,2.6%,68.97,84.52,448.42,237.24,1352.70,4795.50,404.71
1,1094204160,A. Jean,Antoine Jean,Jean,Antoine,P,University of Houston,HOU,3030,Houston,BBC,R,L,76.59,13.8,76.6,23.9%,26.0%,35.3%,31.4%,25,10:53,146.5,.393,L,97.20,485.51,478.67,20.00%,284,89.5,88.40,-11.3,11.29,18.1,2235.7,0.39,-5.15,-5.40,5.77,51.4%,-,-,9.5%,95.74,99.35,472.52,229.93,1406.93,4950.85,393.39
1,1083799040,K. Seitter,Kevin Seitter,Seitter,Kevin,P,University of Oregon,ORE,4807,Oregon,BBC,R,R,64.25,-16.8,64.2,19.3%,17.2%,21.2%,43.3%,23,12:58,-151.1,.342,R,102.75,513.25,521.92,17.61%,580,90.7,91.48,9.1,9.11,17.5,2050.0,-0.80,-4.04,-4.79,6.86,48.1%,-,-,7.4%,91.93,97.58,526.16,298.49,1367.54,4787.26,362.15
1,1260504576,C. Herberholz,Christian Herberholz,Herberholz,Christian,P,Auburn University,AUB,5466,Auburn,BBC,R,R,72.45,-17.7,72.5,23.3%,23.1%,25.0%,21.4%,25,1:15,-142.5,.285,R,114.33,571.06,571.13,21.72%,199,91.6,89.63,14.1,14.12,19.6,2253.5,-0.36,-4.52,-4.84,5.27,54.5%,-,-,11.1%,124.07,113.05,560.24,302.16,1483.28,5305.99,397.34
1,1085103616,B. Pedersen,Ben Pedersen,Pedersen,Ben,P,University of Missouri,MIZZ,4806,Missouri,BBC,R,R,76.14,-22.8,76.1,12.5%,0.0%,40.0%,0.0%,25,12:34,-162.9,.309,R,77.84,388.80,398.69,12.61%,52,88.7,89.44,5.0,4.98,17.2,2213.9,-1.88,-5.15,-5.73,6.85,38.5%,-,-,3.8%,50.27,72.36,402.81,192.64,1314.30,4892.56,388.74
1,1303717376,G. Taylor,Grant Taylor,Taylor,Grant,P,Washington State University,WSU,4505,Washington State,BBC,R,R,79.83,-17.8,79.8,24.3%,24.3%,37.4%,21.5%,25,12:43,-158.5,.347,R,90.96,454.34,445.52,19.25%,685,90.2,88.53,7.5,7.46,20.0,2290.6,-0.93,-5.26,-5.47,5.45,43.5%,-,-,11.1%,85.78,94.11,436.36,208.30,1406.39,4961.52,402.43
1,1104729344,D. Netz,Dawson Netz,Netz,Dawson,P,University of Arizona,ARIZ,232,Arizona,BBC,R,R,72.83,-17.8,72.8,27.1%,34.8%,33.3%,33.3%,24,12:20,-170.1,.268,R,93.28,465.91,441.37,23.18%,149,91.6,90.49,3.1,3.12,18.9,2237.7,-1.65,-4.59,-5.26,5.76,53.0%,-,-,13.4%,102.33,103.77,435.12,241.45,1349.32,4575.97,393.05
1,1086817280,A. Lattery,AJ Lattery,Lattery,AJ,P,Oregon State University,ORST,3111,Oregon State,BBC,R,R,73.57,-17.6,73.6,9.1%,20.0%,40.0%,0.0%,24,12:38,-161.0,.434,R,95.81,478.55,470.26,20.06%,25,90.6,91.32,5.8,5.82,17.8,2215.2,-1.38,-4.40,-4.78,6.84,56.0%,-,-,8.0%,94.33,98.65,474.31,262.74,1348.80,4763.07,389.25
1,1182420736,J. Mundt,Joey Mundt,Mundt,Joey,P,Oregon State University,ORST,3111,Oregon State,BBC,R,R,78.76,-9.0,78.8,19.2%,0.0%,0.0%,50.0%,23,12:58,-151.1,.222,R,90.80,453.53,442.22,19.78%,40,91.2,90.01,9.1,9.07,17.5,2117.1,0.12,-5.34,-5.12,5.73,33.3%,-,-,15.0%,87.45,95.11,435.74,206.87,1376.20,4578.24,373.35
1,1291368448,C. Candiotti,Clark Candiotti,Candiotti,Clark,P,University of Arizona,ARIZ,232,Arizona,BBC,R,R,74.38,-20.2,74.4,29.3%,24.2%,31.9%,37.5%,26,1:14,-142.9,.335,R,104.01,519.53,521.15,19.42%,385,93.2,92.13,11.9,11.91,16.8,2380.1,-0.66,-4.90,-5.13,5.78,50.4%,-,-,9.1%,101.20,102.12,515.13,277.36,1437.29,5260.47,417.97
1,1159605248,J. Neff,Jeremy Neff,Neff,Jeremy,P,Virginia Tech,VT,2293,Virginia Tech,BBC,L,L,67.43,8.4,67.4,20.0%,13.6%,25.0%,45.8%,23,10:51,145.5,.304,L,106.67,532.80,531.78,20.51%,154,91.4,90.18,-11.3,11.35,17.6,2094.4,-0.77,-4.36,-4.63,5.73,51.0%,-,-,10.4%,109.06,105.99,525.22,291.07,1403.91,4595.18,370.03
1,1170743808,M. Siverling,Matthew Siverling,Siverling,Matthew,P,Virginia Tech,VT,2293,Virginia Tech,BBC,L,L,74.80,12.5,74.8,15.8%,22.2%,45.0%,40.0%,22,11:03,151.6,.476,L,83.44,416.77,386.77,22.52%,99,89.1,89.27,-7.3,7.33,14.6,1943.4,0.47,-5.36,-5.94,6.50,61.6%,-,-,10.1%,87.12,96.59,387.61,177.15,1276.89,4412.29,343.48
1,1269170944,N. Short,Noah Short,Short,Noah,P,Florida State University,FSU,101,Florida State,BBC,R,R,45.37,-42.2,45.4,14.3%,14.3%,42.9%,0.0%,26,1:23,-138.3,.457,R,138.06,689.63,741.85,14.66%,36,88.5,89.03,8.6,8.56,11.0,2277.7,-3.85,-2.79,-3.45,6.71,41.7%,-,-,5.6%,108.78,112.09,744.67,599.28,1255.61,5347.52,398.86
1,1110671616,A. Mosiello,Andrew Mosiello,Mosiello,Andrew,P,Texas Christian University,TCU,5045,TCU,BBC,R,R,63.53,-17.1,63.5,20.5%,0.0%,20.0%,30.0%,25,12:38,-160.8,.285,R,97.10,485.02,465.98,22.69%,88,89.7,89.45,5.3,5.26,15.9,2279.5,-1.20,-4.19,-5.12,6.26,49.4%,-,-,13.6%,105.73,104.97,464.47,274.77,1310.60,4507.68,399.45
1,1269177600,B. Flynn,Bennett Flynn,Flynn,Bennett,P,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,81.90,-2.7,81.9,22.6%,24.4%,30.8%,34.6%,24,12:52,-154.2,.499,R,90.25,450.81,442.31,19.05%,298,89.2,87.18,9.3,9.34,20.6,2178.3,0.28,-5.52,-5.94,5.25,51.0%,-,-,8.4%,84.25,93.26,431.24,187.81,1418.46,4476.55,383.94
1,1077802752,M. Polk,Michael Polk,Polk,Michael,P,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,62.58,-16.5,62.6,45.5%,0.0%,50.0%,50.0%,25,1:24,-138.2,.317,R,134.15,670.09,640.71,32.03%,24,93.4,93.57,14.7,14.72,17.5,2349.1,0.18,-3.59,-3.57,6.52,54.2%,-,-,25.0%,205.22,146.46,641.69,388.42,1479.39,5257.41,413.08
1,1217548544,J. Morin,Jacob Morin,Morin,Jacob,P,The Ohio State University,OSU,4144,Ohio State,BBC,R,R,63.33,-12.8,63.3,8.3%,28.6%,42.9%,14.3%,28,1:10,-145.0,.557,R,89.86,448.87,444.82,17.99%,37,84.8,83.74,9.7,9.69,14.9,2335.0,-0.18,-4.80,-5.14,5.80,64.7%,-,-,2.7%,80.02,90.79,438.99,229.50,1304.07,4536.35,408.28
1,1203036160,B. Oxford,Brennen Oxford,Oxford,Brennen,P,Florida State University,FSU,101,Florida State,BBC,R,L,68.13,20.0,68.1,26.6%,20.9%,35.9%,24.4%,28,11:06,152.9,.326,L,105.88,528.88,521.07,21.87%,419,90.3,89.58,-9.1,9.13,18.7,2486.7,1.02,-4.42,-4.99,6.02,50.5%,-,-,12.2%,113.95,108.40,517.28,289.95,1422.47,5106.88,435.14
1,1164310784,B. Thomas,Brett Thomas,Thomas,Brett,P,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,82.43,-6.9,82.4,9.1%,28.6%,42.9%,28.6%,29,1:03,-148.7,.354,R,67.13,335.31,331.81,13.54%,24,90.4,88.27,6.1,6.09,11.1,2612.8,-0.55,-6.26,-7.34,5.19,54.2%,-,-,0.0%,44.93,68.04,320.17,143.40,1275.76,4227.93,454.71
1,1218243584,B. Olsen,Bobby Olsen,Olsen,Bobby,P,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,70.72,-27.9,70.7,21.4%,11.8%,21.1%,52.6%,25,12:46,-156.8,.548,R,94.15,470.26,471.58,17.61%,93,93.3,92.50,6.3,6.34,15.5,2354.5,-2.04,-4.59,-5.10,5.98,54.8%,-,-,5.4%,83.04,92.51,467.39,271.27,1352.28,5100.11,412.78
1,1193107712,J. Blackwell,Jonathan Blackwell,Blackwell,Jonathan,P,Purdue University,PUR,730353152,Purdue,BBC,L,L,65.44,36.0,65.4,32.3%,13.3%,38.9%,44.4%,22,10:52,146.0,.526,L,101.14,505.21,498.72,20.67%,71,88.2,87.98,-9.8,9.85,15.7,1982.2,2.35,-4.11,-4.91,6.29,56.3%,-,-,8.5%,103.10,103.09,497.49,280.84,1318.20,5434.41,350.55
1,1227233792,T. Bothwell,Ty Bothwell,Bothwell,Ty,P,"Indiana University, Bloomington",IND,4866,Indiana,BBC,L,L,63.75,36.6,63.7,25.2%,13.9%,29.5%,35.2%,26,10:54,147.0,.309,L,114.14,570.14,555.37,24.98%,647,90.2,89.89,-11.1,11.10,18.1,2307.6,2.21,-4.05,-4.33,6.21,50.4%,-,-,16.5%,138.75,119.83,553.40,318.48,1417.81,5761.43,405.60
1,1149539072,T. Pooser,Trey Pooser,Pooser,Trey,P,University of Kentucky,UK,5362,Kentucky,BBC,R,R,74.83,-20.9,74.8,23.4%,25.4%,36.1%,33.3%,25,1:04,-147.9,.267,R,103.41,516.52,517.39,19.47%,501,92.3,91.31,10.8,10.78,18.2,2267.7,-1.07,-4.74,-5.30,5.83,47.8%,-,-,10.0%,100.75,101.88,511.80,273.78,1431.00,5225.46,399.23
1,1192888576,Z. Morris,Zack Morris,Morris,Zack,P,Texas Christian University,TCU,5045,TCU,BBC,L,L,70.54,31.0,70.5,20.0%,21.7%,23.1%,42.3%,24,10:50,144.8,.300,L,101.87,508.85,514.02,18.22%,129,91.9,91.13,-11.0,11.03,16.7,2238.1,1.80,-4.65,-5.37,5.98,49.6%,-,-,7.8%,93.67,98.34,509.86,277.96,1402.82,5524.74,394.15
1,1096855296,R. Ruff,Rashad Ruff,Ruff,Rashad,P,UCLA,UCLA,5048,UCLA,BBC,R,R,71.73,-15.4,71.7,21.1%,11.1%,20.0%,40.0%,26,1:19,-140.6,.156,R,112.96,564.22,569.49,20.31%,111,91.5,90.00,14.2,14.20,18.5,2347.0,-0.60,-4.52,-4.87,5.56,48.2%,-,-,10.8%,115.66,109.26,561.32,307.13,1472.13,5222.36,412.77
1,1305989377,L. Koester,Logan Koester,Koester,Logan,P,University of Maryland-College Park,MD,730172928,Maryland,BBC,R,R,74.80,-30.2,74.8,7.1%,30.0%,50.0%,20.0%,25,1:17,-141.4,.756,R,85.23,425.71,449.17,11.00%,50,88.1,88.46,11.9,11.91,16.2,2226.5,-1.91,-5.41,-5.56,6.62,44.0%,-,-,0.0%,49.41,73.31,451.13,205.45,1368.34,5570.61,391.68
1,1173608960,D. Shoemaker,David Shoemaker,Shoemaker,David,P,Virginia Tech,VT,2293,Virginia Tech,BBC,R,L,61.12,26.9,61.1,25.0%,0.0%,16.7%,83.3%,23,10:47,143.6,.412,L,107.08,534.84,566.51,13.33%,20,92.0,90.06,-11.7,11.73,16.3,2092.0,1.55,-3.83,-4.29,5.32,40.0%,-,-,5.0%,75.53,91.08,556.07,336.08,1390.19,5201.46,369.64
1,1074064640,W. Jacobsen,Will Jacobsen,Jacobsen,Will,P,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,67.97,-16.0,68.0,18.8%,12.9%,43.8%,21.9%,22,1:04,-147.9,.181,R,109.60,547.44,532.83,24.08%,219,92.2,90.46,10.7,10.74,18.2,2036.1,-0.66,-4.32,-4.98,5.40,52.4%,-,-,14.6%,128.32,115.26,523.14,292.39,1408.53,4844.11,360.48
1,1185651712,B. Sears,Brett Sears,Sears,Brett,P,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,64.45,-28.7,64.4,25.3%,11.4%,32.0%,31.0%,27,1:12,-144.1,.250,R,112.37,561.31,559.25,21.83%,612,89.8,89.90,12.0,11.97,17.6,2388.1,-1.42,-4.11,-4.41,6.45,60.7%,-,-,9.0%,122.06,112.12,559.56,320.37,1421.57,5539.71,418.88
